epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.153372017466652,0.4733492442322991,1.8780167588481196,0.7
2,1.4104983686167945,0.750994431185362,0.9709914437046757,0.7851851851851852
3,0.6862901309556969,0.8631662688941926,0.5652779941205626,0.837037037037037
4,0.42844436907445804,0.8989657915672236,0.40330839885605707,0.8962962962962963
5,0.3030529835201391,0.9252187748607796,0.3239842296750457,0.9148148148148149
6,0.24529310855821854,0.939538583929992,0.26785423943290004,0.9333333333333333
7,0.20485722644042664,0.9482895783611774,0.23100528683927324,0.937037037037037
8,0.17410307758700402,0.954653937947494,0.2360043544460226,0.9407407407407408
9,0.15487222678147333,0.9594272076372315,0.18517682094264915,0.9518518518518518
10,0.13087846117068969,0.9713603818615751,0.17326445551934067,0.9518518518518518
11,0.12144524559923933,0.9713603818615751,0.17204522827157268,0.9518518518518518
12,0.10845499028442109,0.9737470167064439,0.1543887162650073,0.9592592592592593
13,0.09834041476676458,0.9769291964996022,0.1542254703188384,0.9481481481481482
14,0.09070870285007626,0.9801113762927606,0.15383745382229488,0.9481481481481482
15,0.08709462422080332,0.9777247414478918,0.1471159193802763,0.9629629629629629
16,0.0720259991512236,0.9832935560859188,0.1315775382573958,0.9703703703703703
17,0.0722615407363422,0.9817024661893397,0.13697432776292165,0.9666666666666667
18,0.0649168690994038,0.9864757358790772,0.14091012632405317,0.9555555555555556
19,0.06675141650291312,0.9832935560859188,0.12931390432295975,0.9629629629629629
20,0.05434187418687125,0.9880668257756563,0.13562041183036785,0.9666666666666667
21,0.05189230531830468,0.9912490055688147,0.1270589898581858,0.9740740740740741
22,0.0498660280411454,0.9880668257756563,0.12124619085203718,0.9666666666666667
23,0.04260927839493624,0.994431185361973,0.12744674089330213,0.9666666666666667
24,0.03826769659767637,0.9928400954653938,0.12195399260079419,0.9703703703703703
25,0.037767796706061514,0.994431185361973,0.12698218839036093,0.9629629629629629
26,0.03139097253327438,0.9976133651551312,0.1203054028528708,0.9629629629629629
27,0.030399866222108322,0.9968178202068417,0.11810168870897204,0.9666666666666667
28,0.02935407583281515,0.9960222752585521,0.11951007844397316,0.9629629629629629
29,0.024967695266681123,0.9984089101034208,0.12082926668226719,0.9592592592592593
30,0.02616870386285934,0.9968178202068417,0.1196013514780336,0.9740740740740741
