slice_id,z_um,z_mm,relative_depth_percent,slice_zone
102,8160.0,8.16,23.502304147465438,bottom_0_25
103,8240.0,8.24,23.732718894009217,bottom_0_25
104,8320.0,8.32,23.963133640552993,bottom_0_25
105,8400.0,8.4,24.193548387096776,bottom_0_25
106,8480.0,8.48,24.42396313364055,bottom_0_25
107,8560.0,8.56,24.65437788018433,bottom_0_25
108,8640.0,8.64,24.88479262672811,bottom_0_25
109,8720.0,8.72,25.115207373271893,lower_middle_25_50
110,8800.0,8.8,25.34562211981567,lower_middle_25_50
111,8880.0,8.88,25.57603686635945,lower_middle_25_50
112,8960.0,8.96,25.806451612903224,lower_middle_25_50
113,9040.0,9.04,26.036866359447004,lower_middle_25_50
114,9120.0,9.12,26.26728110599078,lower_middle_25_50
115,9200.0,9.2,26.497695852534562,lower_middle_25_50
116,9280.0,9.28,26.72811059907834,lower_middle_25_50
117,9360.0,9.36,26.95852534562212,lower_middle_25_50
118,9440.0,9.44,27.188940092165897,lower_middle_25_50
119,9520.0,9.52,27.419354838709676,lower_middle_25_50
120,9600.0,9.6,27.64976958525346,lower_middle_25_50
121,9680.0,9.68,27.880184331797235,lower_middle_25_50
122,9760.0,9.76,28.110599078341014,lower_middle_25_50
123,9840.0,9.84,28.341013824884794,lower_middle_25_50
124,9920.0,9.92,28.57142857142857,lower_middle_25_50
125,10000.0,10.0,28.80184331797235,lower_middle_25_50
126,10080.0,10.08,29.03225806451613,lower_middle_25_50
127,10160.0,10.16,29.262672811059907,lower_middle_25_50
128,10240.0,10.24,29.493087557603687,lower_middle_25_50
129,10320.0,10.32,29.723502304147466,lower_middle_25_50
130,10400.0,10.4,29.953917050691242,lower_middle_25_50
131,10480.0,10.48,30.184331797235025,lower_middle_25_50
132,10560.0,10.56,30.414746543778804,lower_middle_25_50
133,10640.0,10.64,30.64516129032258,lower_middle_25_50
134,10720.0,10.72,30.87557603686636,lower_middle_25_50
135,10800.0,10.8,31.105990783410135,lower_middle_25_50
136,10880.0,10.88,31.336405529953915,lower_middle_25_50
137,10960.0,10.96,31.566820276497698,lower_middle_25_50
138,11040.0,11.04,31.797235023041477,lower_middle_25_50
139,11120.0,11.12,32.02764976958525,lower_middle_25_50
140,11200.0,11.2,32.25806451612903,lower_middle_25_50
141,11280.0,11.28,32.48847926267281,lower_middle_25_50
142,11360.0,11.36,32.71889400921659,lower_middle_25_50
143,11440.0,11.44,32.94930875576037,lower_middle_25_50
144,11520.0,11.52,33.17972350230415,lower_middle_25_50
