phase,phase_fraction_metric,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
pores,pores_fraction,435.0,0.012329756803654,0.011771453346857,0.0022249415952831,0.0047280008899766,0.0066748247858493,0.0175214150628546,0.0568750695294248,0.954719021170675
resin_like_regions,resin_fraction,435.0,0.2088085309887052,0.0169809437684051,0.175965068416954,0.1996746022916898,0.2076148626098564,0.2165563466459005,0.3210590721993547,0.0813230364104411
matrix,material_fraction,435.0,0.7788617122076408,0.0220657955192341,0.6220658582712204,0.7695238624986094,0.7817610412726665,0.7920513961508511,0.8196128601624207,0.0283308258364502
