phase,objects_2d,objects_3d,objects_2d_per_3d_object,mean_equivalent_diameter_2d_um,median_equivalent_diameter_2d_um,std_equivalent_diameter_2d_um,mean_equivalent_diameter_3d_um,median_equivalent_diameter_3d_um,std_equivalent_diameter_3d_um,objects_3d_from_summary,mean_volume_3d_voxels,median_volume_3d_voxels,mean_volume_3d_mm3,median_volume_3d_mm3,mean_equivalent_diameter_3d_summary_um,median_equivalent_diameter_3d_summary_um,std_equivalent_diameter_3d_summary_um,mean_intensity_3d,median_intensity_3d,object_count_reduction_factor_2d_to_3d,mean_diameter_ratio_3d_to_2d,median_diameter_ratio_3d_to_2d
pores,5280,232,22.75862068965517,362.3444331061655,270.811000102923,331.0698054429604,570.020003502986,496.28039271952,305.9298259439346,232,536.2327586206897,125.0,0.2745511724137931,0.064,570.020003502986,496.28039271952,305.9298259439346,61.92286047890957,58.26950943396226,22.75862068965517,1.5731440900486315,1.8325710275096148
resin,86333,1757,49.13659647125783,499.2554272955224,469.0584114268031,225.23548047298237,686.08883281663,613.3774144932245,389.97922100887104,1757,1810.3289698349456,236.0,0.9268884325554924,0.120832,686.08883281663,613.3774144932245,389.97922100887104,132.13350817877708,130.65803814713897,49.136596471257825,1.3742240851204928,1.3076781047960004
