slice_id,image_type,image_path,image_filename,z_um,z_mm,relative_depth_percent,slice_zone,pore_fraction,resin_fraction,matrix_fraction,heterogeneity_index,anomaly_flag,anomaly_status,anomaly_score,anomaly_category
0,original,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0000_original.png,slice_0000_original.png,0.0,0.0,0.0,bottom_0_25,0.0568750695294248,0.3030648570475025,0.6220658582712204,0.2313755191934876,1,Anomalous,0.2323572754543685,high_porosity+resin_rich+resin_fragmented+large_pores
0,segmentation,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0000_segmentation.png,slice_0000_segmentation.png,0.0,0.0,0.0,bottom_0_25,0.0568750695294248,0.3030648570475025,0.6220658582712204,0.2313755191934876,1,Anomalous,0.2323572754543685,high_porosity+resin_rich+resin_fragmented+large_pores
0,pore_mask,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0000_pore_mask.png,slice_0000_pore_mask.png,0.0,0.0,0.0,bottom_0_25,0.0568750695294248,0.3030648570475025,0.6220658582712204,0.2313755191934876,1,Anomalous,0.2323572754543685,high_porosity+resin_rich+resin_fragmented+large_pores
0,resin_mask,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0000_resin_mask.png,slice_0000_resin_mask.png,0.0,0.0,0.0,bottom_0_25,0.0568750695294248,0.3030648570475025,0.6220658582712204,0.2313755191934876,1,Anomalous,0.2323572754543685,high_porosity+resin_rich+resin_fragmented+large_pores
1,original,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0001_original.png,slice_0001_original.png,80.0,0.08,0.2304147465437788,bottom_0_25,0.0493658916453443,0.3023417510290355,0.6383635554566692,0.241252676774308,1,Anomalous,0.2244840142583031,high_porosity+resin_rich+resin_fragmented+large_pores
1,segmentation,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0001_segmentation.png,slice_0001_segmentation.png,80.0,0.08,0.2304147465437788,bottom_0_25,0.0493658916453443,0.3023417510290355,0.6383635554566692,0.241252676774308,1,Anomalous,0.2244840142583031,high_porosity+resin_rich+resin_fragmented+large_pores
1,pore_mask,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0001_pore_mask.png,slice_0001_pore_mask.png,80.0,0.08,0.2304147465437788,bottom_0_25,0.0493658916453443,0.3023417510290355,0.6383635554566692,0.241252676774308,1,Anomalous,0.2244840142583031,high_porosity+resin_rich+resin_fragmented+large_pores
1,resin_mask,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0001_resin_mask.png,slice_0001_resin_mask.png,80.0,0.08,0.2304147465437788,bottom_0_25,0.0493658916453443,0.3023417510290355,0.6383635554566692,0.241252676774308,1,Anomalous,0.2244840142583031,high_porosity+resin_rich+resin_fragmented+large_pores
2,original,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0002_original.png,slice_0002_original.png,160.0,0.16,0.4608294930875576,bottom_0_25,0.0407998665035042,0.2942485259761931,0.6572755590165759,0.2529969541244139,1,Anomalous,0.2087776540357229,high_porosity+resin_rich+resin_fragmented+large_pores
2,segmentation,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0002_segmentation.png,slice_0002_segmentation.png,160.0,0.16,0.4608294930875576,bottom_0_25,0.0407998665035042,0.2942485259761931,0.6572755590165759,0.2529969541244139,1,Anomalous,0.2087776540357229,high_porosity+resin_rich+resin_fragmented+large_pores
2,pore_mask,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0002_pore_mask.png,slice_0002_pore_mask.png,160.0,0.16,0.4608294930875576,bottom_0_25,0.0407998665035042,0.2942485259761931,0.6572755590165759,0.2529969541244139,1,Anomalous,0.2087776540357229,high_porosity+resin_rich+resin_fragmented+large_pores
2,resin_mask,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0002_resin_mask.png,slice_0002_resin_mask.png,160.0,0.16,0.4608294930875576,bottom_0_25,0.0407998665035042,0.2942485259761931,0.6572755590165759,0.2529969541244139,1,Anomalous,0.2087776540357229,high_porosity+resin_rich+resin_fragmented+large_pores
3,original,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0003_original.png,slice_0003_original.png,240.0,0.24,0.6912442396313364,bottom_0_25,0.033513182778952,0.2845700300367115,0.6739626209811992,0.2634876369292497,1,Anomalous,0.1808656145572199,high_porosity+resin_rich+resin_fragmented
3,segmentation,C:\Users\Peter\ai-imaging-portfolio\projects\05_microct_quality_monitoring_powerbi\data\dashboard_exports\slice_images\selected_slices\slice_0003_segmentation.png,slice_0003_segmentation.png,240.0,0.24,0.6912442396313364,bottom_0_25,0.033513182778952,0.2845700300367115,0.6739626209811992,0.2634876369292497,1,Anomalous,0.1808656145572199,high_porosity+resin_rich+resin_fragmented
