anomaly_category,anomaly_status,n_slices,mean_anomaly_score,median_anomaly_score,mean_pc1,mean_pc2,percentage_slices
normal,Normal,413,-0.1325270104617334,-0.149175877344064,0.3586717723319508,0.02553986187522723,94.94252873563218
high_porosity+resin_rich+resin_fragmented,Anomalous,6,0.12166291839177042,0.14119897996797354,-9.013103978605123,-3.7555251064040096,1.3793103448275863
high_porosity+resin_fragmented+large_pores,Anomalous,5,0.0075551194733618,0.0033544087392852,-3.124368557800965,4.318786747328284,1.1494252873563218
resin_rich+resin_fragmented,Anomalous,4,0.043262490247028496,0.04040777187545975,-4.606526806737112,-3.13391342023062,0.9195402298850575
high_porosity+resin_rich+resin_fragmented+large_pores,Anomalous,3,0.22187298124946483,0.2244840142583031,-15.651011429371684,-3.69857215221228,0.6896551724137931
high_porosity+large_pores,Anomalous,2,0.0247623408465636,0.0247623408465636,-3.092710292159031,4.940128044108934,0.45977011494252873
high_porosity+resin_rich+large_pores,Anomalous,1,0.0023885945171501,0.0023885945171501,-2.9069986890614694,3.804936736490996,0.22988505747126436
high_porosity+resin_rich,Anomalous,1,0.0045439329952281,0.0045439329952281,-3.959414524017104,0.3374312601642487,0.22988505747126436
