epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.3041020913454116,0.11853619729514718,2.303510528140598,0.1259259259259259
2,2.3033074040970543,0.12012728719172633,2.3027609825134276,0.1259259259259259
3,2.302512136070901,0.12012728719172633,2.302010753419664,0.1259259259259259
4,2.301731771007832,0.12092283214001591,2.3012685387222853,0.12962962962962962
5,2.300950587317407,0.12330946698488465,2.3005164941151937,0.12962962962962962
6,2.3001673407467376,0.1249005568814638,2.299782721201579,0.13333333333333333
7,2.29939866767768,0.12728719172633254,2.299049140788891,0.13333333333333333
8,2.2986319340119405,0.1280827366746221,2.2983211976510507,0.13703703703703704
9,2.2978684500085045,0.1288782816229117,2.2976042323642307,0.14074074074074075
10,2.297111590323983,0.13046937151949084,2.2968885156843397,0.14074074074074075
11,2.29635864472522,0.13206046141607,2.2961714232409443,0.14074074074074075
12,2.295606213898154,0.13444709626093873,2.2954563600045663,0.14074074074074075
13,2.2948545878523383,0.1368337311058075,2.2947454540817827,0.14444444444444443
14,2.294104226923406,0.14001591089896578,2.294029707378811,0.14444444444444443
15,2.2933526501924915,0.1424025457438345,2.293313397301568,0.14814814814814814
16,2.2926088386617582,0.14638027048528243,2.292611339357164,0.14814814814814814
17,2.291862914556535,0.147175815433572,2.2919102863029197,0.15185185185185185
18,2.291129473190793,0.14876690533015116,2.291209669466372,0.15555555555555556
19,2.290389305082881,0.1511535401750199,2.290508312649197,0.15555555555555556
20,2.2896513880105274,0.15194908512330946,2.2898087077670626,0.15555555555555556
21,2.2889056408699298,0.15194908512330946,2.289098474714491,0.15925925925925927
22,2.2881547080778186,0.15433571996817821,2.288390952569467,0.16296296296296298
23,2.287418588912952,0.15513126491646778,2.287681634337814,0.16296296296296298
24,2.2866692954619534,0.15513126491646778,2.2869662514439337,0.16666666666666666
25,2.2859190367666047,0.1575178997613365,2.286250208042286,0.16666666666666666
26,2.285171843182026,0.1583134447096261,2.2855255462505197,0.16666666666666666
27,2.2844050645638574,0.16070007955449483,2.284803796697546,0.16666666666666666
28,2.2836514678187285,0.16308671439936356,2.2840735488467745,0.16666666666666666
29,2.282878286229682,0.16388225934765313,2.283339505725437,0.16666666666666666
30,2.2821103784899535,0.1654733492442323,2.2826001308582446,0.16666666666666666
