z_index,z_position_mm,pores_fraction,resin_fraction,material_fraction,total_fraction
0,0.0,0.05687506952942485,0.32105907219935476,0.6220658582712204,1.0
1,0.08,0.04936589164534431,0.31227055289798644,0.6383635554566692,1.0
2,0.16,0.040799866503504284,0.3019245744799199,0.6572755590165759,1.0
3,0.24,0.03351318277895205,0.2925241962398487,0.6739626209811992,1.0
4,0.32,0.028952052508621647,0.2734175102903549,0.6976304372010235,1.0
5,0.4,0.025503393035932808,0.2617365669151185,0.7127600400489487,1.0
6,0.48,0.022527533652241628,0.25280898876404495,0.7246634775837134,1.0
7,0.56,0.017966403381911224,0.24663477583713428,0.7353988207809545,1.0
8,0.64,0.013266214261875625,0.24877628212259428,0.7379575036155301,1.0
9,0.72,0.01198687284458783,0.24607854043831348,0.7419345867170987,1.0
10,0.8,0.009956613638891979,0.24135053954833685,0.7486928468127712,1.0
11,0.88,0.009428190010012237,0.23834686839470465,0.7522249415952831,1.0
12,0.96,0.00817666036266548,0.237178774057181,0.7546445655801535,1.0
13,1.04,0.007703860273667817,0.2366781621982423,0.7556179775280899,1.0
14,1.12,0.006285460006674824,0.23139392590944488,0.7623206140838803,1.0
15,1.2,0.006869507175436645,0.2267771720992324,0.7663533207253309,1.0
16,1.28,0.005896095227500278,0.2233007008566025,0.7708032039158972,1.0
17,1.36,0.004338636110802091,0.2203526532428524,0.7753087106463455,1.0
18,1.44,0.0036711536322171544,0.21987985315385472,0.7764489932139281,1.0
19,1.52,0.004283012570920014,0.21314940482812325,0.7825675826009567,1.0
20,1.6,0.0037824007119813103,0.21490154633440872,0.78131605295361,1.0
21,1.68,0.004060518411391701,0.22063077094226277,0.7753087106463455,1.0
22,1.76,0.005228612748915341,0.23061519635109579,0.7641561908999889,1.0
23,1.84,0.00611858938702859,0.23231171431749917,0.7615696962954722,1.0
24,1.92,0.005979530537323395,0.22702747802870174,0.7669929914339748,1.0
25,2.0,0.0057848481477361215,0.2139559461564134,0.7802592056958505,1.0
26,2.08,0.005089553899210146,0.20196907331182556,0.7929413727889643,1.0
27,2.16,0.004867059739681833,0.19356991878963178,0.8015630214706864,1.0
28,2.24,0.00436644788074313,0.19206808321281565,0.8035654689064412,1.0
29,2.32,0.005423295138502615,0.19368116586939593,0.8008955389921014,1.0
30,2.4,0.005506730448325731,0.20041161419512737,0.7940816553565468,1.0
31,2.48,0.005228612748915341,0.20533429747469129,0.7894370897763934,1.0
32,2.56,0.004533318500389365,0.21362220491712092,0.7818444765824897,1.0
33,2.64,0.0043108243408610525,0.21935142952497497,0.776337746134164,1.0
34,2.72,0.00436644788074313,0.21593058182222716,0.7797029702970297,1.0
35,2.8000000000000003,0.0038102124819223496,0.20627989765268662,0.789909889865391,1.0
36,2.88,0.0036155300923350763,0.20146846145288685,0.7949160084547781,1.0
37,2.96,0.003476471242629881,0.20010568472577595,0.7964178440315942,1.0
38,3.04,0.0035320947825119593,0.20096784959394817,0.7955000556235399,1.0
39,3.12,0.0036989654021581933,0.20416620313716766,0.7921348314606742,1.0
40,3.2,0.003420847702747803,0.2125375458894204,0.7840416064078318,1.0
41,3.2800000000000002,0.0031983535432194904,0.22057514740238068,0.7762264990543998,1.0
42,3.36,0.003448659472688842,0.22366225386583602,0.7728890866614752,1.0
43,3.44,0.00350428301257092,0.22216041828901992,0.7743352986984091,1.0
44,3.52,0.003643341862276115,0.21993547669373678,0.7764211814439871,1.0
45,3.6,0.0038936477917454666,0.22232728890866615,0.7737790632995883,1.0
46,3.68,0.00525642451885638,0.22057514740238068,0.774168428078763,1.0
47,3.7600000000000002,0.005701412837913005,0.21476248748470353,0.7795360996773835,1.0
48,3.84,0.0040048948715096224,0.21178662810101234,0.784208477027478,1.0
49,3.92,0.002224941595283124,0.20561241517410167,0.7921626432306152,1.0
50,4.0,0.0026421181443987097,0.2026365557904105,0.7947213260651907,1.0
51,4.08,0.0036989654021581933,0.20494493269551675,0.7913561019023251,1.0
52,4.16,0.004700189120035599,0.21078540438313495,0.7845144064968295,1.0
53,4.24,0.005395483368561575,0.21409500500611858,0.7805095116253198,1.0
54,4.32,0.005006118589387028,0.2130381577483591,0.7819557236622539,1.0
55,4.4,0.003420847702747803,0.2071142507509178,0.7894649015463344,1.0
56,4.48,0.004199577261096896,0.19974413171654243,0.7960562910223606,1.0
57,4.5600000000000005,0.005534542218266771,0.1946545778173323,0.7998108799644009,1.0
58,4.64,0.00436644788074313,0.18708977639336968,0.8085437757258872,1.0
59,4.72,0.002975859383691178,0.18795194126154188,0.8090721993547669,1.0
60,4.8,0.0028089887640449437,0.19034375347647126,0.8068472577594838,1.0
61,4.88,0.0031149182333963733,0.1978529313605518,0.7990321504060518,1.0
62,4.96,0.0036989654021581933,0.20308154410946713,0.7932194904883747,1.0
63,5.04,0.0038380242518633884,0.20586272110357104,0.7902992546445656,1.0
64,5.12,0.003977083101568584,0.20772610968962066,0.7882968072088108,1.0
65,5.2,0.0035320947825119593,0.20697519190121258,0.7894927133162755,1.0
66,5.28,0.0029202358438091,0.20005006118589386,0.7970297029702971,1.0
67,5.36,0.0030314829235732563,0.19924351985760375,0.797724997218823,1.0
68,5.44,0.0038936477917454666,0.20380465012793414,0.7923017020803204,1.0
69,5.5200000000000005,0.00436644788074313,0.20547335632439648,0.7901601957948604,1.0
70,5.6000000000000005,0.0038380242518633884,0.21053509845366558,0.785626877294471,1.0
71,5.68,0.004588942040271443,0.21339971075759262,0.7820113472021359,1.0
72,5.76,0.00525642451885638,0.21562465235287573,0.7791189231282679,1.0
73,5.84,0.0041439537212148185,0.2130381577483591,0.7828178885304261,1.0
74,5.92,0.0038380242518633884,0.21228723995995105,0.7838747357881856,1.0
75,6.0,0.004255200800978974,0.202998108799644,0.7927466903993771,1.0
76,6.08,0.0037824007119813103,0.19448770719768607,0.8017298920903326,1.0
77,6.16,0.003142730003337412,0.1877572588719546,0.809100011124708,1.0
78,6.24,0.0026421181443987097,0.18714539993325174,0.8102124819223495,1.0
79,6.32,0.00350428301257092,0.19217933029257983,0.8043163866948493,1.0
80,6.4,0.00408833018133274,0.19946601401713204,0.7964456558015353,1.0
81,6.48,0.004616753810212482,0.2049171209255757,0.7904661252642118,1.0
