phase,mean_equivalent_diameter_2d_um,median_equivalent_diameter_2d_um,std_equivalent_diameter_2d_um,mean_equivalent_diameter_3d_um,median_equivalent_diameter_3d_um,std_equivalent_diameter_3d_um
pores,362.3444331061655,270.811000102923,331.0698054429604,570.020003502986,496.28039271951997,305.9298259439346
resin,499.25542729552234,469.0584114268031,225.23548047298235,686.08883281663,613.3774144932245,389.97922100887104
