phase,morphology_class_3d_inertia,number_of_objects,mean_volume_voxels,median_volume_voxels,mean_volume_mm3,median_volume_mm3,mean_equivalent_diameter_um,median_equivalent_diameter_um,mean_axis_ratio_3d,median_axis_ratio_3d,mean_extent_3d,median_extent_3d,mean_intensity,median_intensity
pores,elongated_pore_inertia,36,139.05555555555554,113.5,0.07119644444444445,0.05811200000000001,501.90493416790235,480.5596521902147,2.5786306770565,2.616069642572648,0.1728586063094043,0.15896103896103897,72.77743577378118,75.69096329202712
pores,irregular_pore_inertia,31,286.4516129032258,114.0,0.14666322580645164,0.05836800000000001,528.4871204316992,481.2736265844006,1.6172679248192365,1.6078332013112413,0.2961776657071035,0.26527648096275547,74.00235819640042,80.0326797385621
pores,rounded_pore_inertia,165,669.8181818181819,128.0,0.34294690909090914,0.06553600000000001,592.68462090464,500.21929074993403,1.1208513976622232,1.0968475964409388,0.5193678144366366,0.5170068027210885,57.28510811613627,57.50485436893204
resin,elongated_resin_inertia,526,5462.7148288973385,572.0,2.7969099923954377,0.292864,897.3249569554646,823.9274555571176,3.027194819798054,2.878655263716022,0.19565096305930835,0.17491258741258742,131.47946225931102,130.4270386842326
resin,irregular_resin_inertia,737,265.64586160108547,181.0,0.13601068113975578,0.09267200000000002,600.6166176775564,561.4571771754753,1.9511181246956288,1.910605988858808,0.3266919752598944,0.3142857142857143,133.84381373532236,132.63106796116506
resin,rounded_resin_inertia,494,225.8684210526316,200.0,0.1156446315789474,0.10240000000000002,588.6856369876225,580.4530685756495,1.193198038038363,1.1197990296809444,0.4578442114676408,0.45443322109988776,130.2783117384234,127.33661375661376
