phase,label_3d,volume_voxels,volume_mm3,equivalent_diameter_voxels,equivalent_diameter_um,centroid_z_pixels,centroid_y_pixels,centroid_x_pixels,centroid_z_mm,centroid_y_mm,centroid_x_mm,bbox_z_pixels,bbox_y_pixels,bbox_x_pixels,bbox_z_mm,bbox_y_mm,bbox_x_mm,longest_axis_bbox_pixels,intermediate_axis_bbox_pixels,shortest_axis_bbox_pixels,elongation_bbox,flatness_bbox,extent_3d,mean_intensity,min_intensity,max_intensity
pores,166,132.0,0.067584,6.317206927705878,505.37655421647025,2.0984848484848486,157.1439393939394,156.16666666666666,0.1678787878787879,12.571515151515152,12.493333333333332,8,12,8,0.64,0.96,0.64,12.0,8.0,8.0,1.5,1.5,0.171875,78.42424242424242,61.0,87.0
pores,174,107.0,0.054784000000000006,5.890177536797923,471.2142029438338,0.9906542056074766,165.14953271028037,8.532710280373832,0.07925233644859814,13.21196261682243,0.6826168224299066,4,7,7,0.32,0.56,0.56,7.0,7.0,4.0,1.75,1.0,0.5459183673469388,77.46728971962617,54.0,87.0
pores,182,153.0,0.07833600000000002,6.635865927138142,530.8692741710514,1.5686274509803921,172.69281045751634,102.72549019607843,0.12549019607843137,13.815424836601307,8.218039215686273,6,10,10,0.48,0.8,0.8,10.0,10.0,6.0,1.6666666666666667,1.0,0.255,80.0326797385621,60.0,87.0
pores,183,98.0,0.050176000000000005,5.720172834077733,457.61382672621863,1.0204081632653061,174.66326530612244,127.95918367346938,0.0816326530612245,13.973061224489795,10.236734693877551,5,9,9,0.4,0.72,0.72,9.0,9.0,5.0,1.8,1.0,0.2419753086419753,73.51020408163265,22.0,87.0
pores,196,135.0,0.06912000000000001,6.364706507682331,509.1765206145865,4.711111111111111,13.592592592592593,85.43703703703704,0.3768888888888889,1.0874074074074076,6.834962962962964,8,8,8,0.64,0.64,0.64,8.0,8.0,8.0,1.0,1.0,0.263671875,80.23703703703704,62.0,87.0
pores,216,126.0,0.06451200000000001,6.220003669960456,497.6002935968365,4.722222222222222,109.58730158730158,156.94444444444446,0.37777777777777777,8.766984126984127,12.555555555555557,9,9,9,0.72,0.72,0.72,9.0,9.0,9.0,1.0,1.0,0.1728395061728395,81.37301587301587,63.0,87.0
pores,219,83.0,0.042496000000000006,5.412025364749767,432.96202917998136,3.1566265060240966,118.57831325301204,112.80722891566265,0.25253012048192774,9.486265060240964,9.024578313253013,5,6,5,0.4,0.48,0.4,6.0,5.0,5.0,1.2,1.2,0.5533333333333333,52.373493975903614,18.0,87.0
pores,240,80.0,0.04096000000000001,5.346018470287903,427.6814776230322,4.975,35.8,57.125,0.39799999999999996,2.864,4.57,8,11,10,0.64,0.88,0.8,11.0,10.0,8.0,1.375,1.1,0.09090909090909091,80.8,46.0,87.0
pores,243,84.0,0.043008000000000005,5.43367369666554,434.6938957332432,4.761904761904762,37.273809523809526,17.952380952380953,0.38095238095238093,2.981904761904762,1.4361904761904762,6,5,12,0.48,0.4,0.96,12.0,6.0,5.0,2.4,2.0,0.23333333333333334,54.98809523809524,18.0,87.0
pores,244,142.0,0.07270400000000002,6.472865367940743,517.8292294352594,5.542253521126761,37.38732394366197,36.33802816901409,0.4433802816901409,2.9909859154929577,2.907042253521127,9,8,10,0.72,0.64,0.8,10.0,9.0,8.0,1.25,1.1111111111111112,0.19722222222222222,81.1056338028169,62.0,87.0
pores,250,88.0,0.045056000000000006,5.518588563740668,441.4870850992534,4.409090909090909,79.69318181818181,178.8409090909091,0.3527272727272727,6.375454545454545,14.307272727272728,7,7,7,0.56,0.56,0.56,7.0,7.0,7.0,1.0,1.0,0.2565597667638484,81.67045454545455,69.0,87.0
pores,294,82.0,0.04198400000000001,5.390202444799826,431.21619558398606,5.853658536585366,91.96341463414635,10.670731707317072,0.46829268292682924,7.357073170731708,0.8536585365853658,9,7,7,0.72,0.56,0.56,9.0,7.0,7.0,1.2857142857142858,1.2857142857142858,0.18594104308390022,81.39024390243902,48.0,87.0
pores,316,82.0,0.04198400000000001,5.390202444799826,431.21619558398606,6.487804878048781,4.329268292682927,80.13414634146342,0.5190243902439025,0.3463414634146341,6.4107317073170735,6,6,10,0.48,0.48,0.8,10.0,6.0,6.0,1.6666666666666667,1.6666666666666667,0.22777777777777777,80.34146341463415,46.0,87.0
