,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
pores_fraction,435.0,0.01232975680365402,0.011771453346857037,0.002224941595283124,0.004728000889976638,0.006674824785849371,0.017521415062854602,0.05687506952942485,0.954719021170675
resin_fraction,435.0,0.20880853098870522,0.016980943768405192,0.17596506841695406,0.19967460229168982,0.20761486260985648,0.21655634664590057,0.32105907219935476,0.0813230364104411
material_fraction,435.0,0.7788617122076408,0.022065795519234144,0.6220658582712204,0.7695238624986094,0.7817610412726665,0.7920513961508511,0.8196128601624207,0.028330825836450295
