phase,number_of_objects,mean_volume_voxels,median_volume_voxels,std_volume_voxels,mean_volume_mm3,median_volume_mm3,mean_equivalent_diameter_um,median_equivalent_diameter_um,std_equivalent_diameter_um,mean_elongation_bbox,median_elongation_bbox,mean_extent_3d,median_extent_3d,mean_intensity,median_intensity
pores,232,536.2327586206897,125.0,3249.31272881792,0.2745511724137931,0.06400000000000002,570.020003502986,496.28039271951997,305.9298259439346,1.2726223782321653,1.1666666666666667,0.4357763226125163,0.49246976568405143,61.92286047890957,58.26950943396226
resin,1757,1810.3289698349458,236.0,54766.77282870096,0.9268884325554925,0.12083200000000002,686.08883281663,613.3774144932245,389.97922100887104,1.4994968741849164,1.3636363636363635,0.3243366151398708,0.32275132275132273,132.13350817877708,130.65803814713897
