z_index,z_position_mm,phase,number_of_objects
138,11.040000000000001,resin,202
139,11.120000000000001,pores,12
139,11.120000000000001,resin,206
140,11.200000000000001,pores,14
140,11.200000000000001,resin,185
141,11.28,pores,12
141,11.28,resin,192
142,11.36,pores,12
142,11.36,resin,203
143,11.44,pores,13
143,11.44,resin,208
144,11.52,pores,16
144,11.52,resin,215
145,11.6,pores,17
145,11.6,resin,214
146,11.68,pores,13
146,11.68,resin,204
147,11.76,pores,10
147,11.76,resin,202
148,11.84,pores,16
148,11.84,resin,197
149,11.92,pores,12
149,11.92,resin,199
150,12.0,pores,12
150,12.0,resin,195
151,12.08,pores,17
151,12.08,resin,211
152,12.16,pores,17
152,12.16,resin,207
153,12.24,pores,13
153,12.24,resin,217
154,12.32,pores,15
154,12.32,resin,205
155,12.4,pores,21
155,12.4,resin,187
156,12.48,pores,19
156,12.48,resin,175
157,12.56,pores,14
157,12.56,resin,189
158,12.64,pores,14
158,12.64,resin,189
159,12.72,pores,12
159,12.72,resin,204
160,12.8,pores,12
160,12.8,resin,191
161,12.88,pores,15
161,12.88,resin,203
162,12.96,pores,17
162,12.96,resin,204
163,13.040000000000001,pores,13
163,13.040000000000001,resin,206
164,13.120000000000001,pores,17
164,13.120000000000001,resin,205
165,13.200000000000001,pores,10
165,13.200000000000001,resin,196
166,13.280000000000001,pores,7
166,13.280000000000001,resin,191
167,13.36,pores,6
167,13.36,resin,217
168,13.44,pores,11
168,13.44,resin,197
169,13.52,pores,14
169,13.52,resin,202
170,13.6,pores,11
170,13.6,resin,195
171,13.68,pores,12
171,13.68,resin,199
172,13.76,pores,11
172,13.76,resin,210
173,13.84,pores,11
173,13.84,resin,201
174,13.92,pores,11
174,13.92,resin,198
175,14.0,pores,15
175,14.0,resin,181
176,14.08,pores,11
176,14.08,resin,200
177,14.16,pores,11
177,14.16,resin,184
178,14.24,pores,14
178,14.24,resin,177
179,14.32,pores,13
179,14.32,resin,199
180,14.4,pores,11
180,14.4,resin,188
181,14.48,pores,8
181,14.48,resin,189
182,14.56,pores,5
182,14.56,resin,194
183,14.64,pores,8
183,14.64,resin,194
184,14.72,pores,11
184,14.72,resin,212
185,14.8,pores,15
185,14.8,resin,201
186,14.88,pores,13
186,14.88,resin,195
187,14.96,pores,14
187,14.96,resin,197
188,15.040000000000001,pores,10
188,15.040000000000001,resin,204
189,15.120000000000001,pores,8
189,15.120000000000001,resin,205
190,15.200000000000001,pores,8
190,15.200000000000001,resin,202
191,15.280000000000001,pores,14
191,15.280000000000001,resin,207
192,15.36,pores,11
192,15.36,resin,204
193,15.44,pores,16
193,15.44,resin,206
194,15.52,pores,11
194,15.52,resin,203
195,15.6,pores,9
195,15.6,resin,181
196,15.68,pores,11
196,15.68,resin,195
197,15.76,pores,12
197,15.76,resin,197
198,15.84,pores,15
198,15.84,resin,193
199,15.92,pores,17
199,15.92,resin,199
200,16.0,pores,11
200,16.0,resin,196
201,16.080000000000002,pores,11
201,16.080000000000002,resin,200
202,16.16,pores,13
202,16.16,resin,189
203,16.240000000000002,pores,11
203,16.240000000000002,resin,182
204,16.32,pores,12
204,16.32,resin,195
205,16.4,pores,12
205,16.4,resin,191
206,16.48,pores,13
206,16.48,resin,189
207,16.56,pores,8
207,16.56,resin,195
208,16.64,pores,8
208,16.64,resin,191
209,16.72,pores,5
209,16.72,resin,192
210,16.8,pores,5
210,16.8,resin,191
211,16.88,pores,5
211,16.88,resin,184
212,16.96,pores,6
212,16.96,resin,184
213,17.04,pores,10
213,17.04,resin,187
214,17.12,pores,11
214,17.12,resin,207
215,17.2,pores,10
215,17.2,resin,215
216,17.28,pores,13
216,17.28,resin,213
217,17.36,pores,15
217,17.36,resin,213
218,17.44,pores,15
218,17.44,resin,203
219,17.52,pores,14
219,17.52,resin,200
220,17.6,pores,13
220,17.6,resin,198
221,17.68,pores,9
221,17.68,resin,209
222,17.76,pores,10
222,17.76,resin,197
223,17.84,pores,8
223,17.84,resin,189
224,17.92,pores,8
224,17.92,resin,189
225,18.0,pores,11
225,18.0,resin,185
226,18.080000000000002,pores,11
226,18.080000000000002,resin,192
227,18.16,pores,11
227,18.16,resin,201
228,18.240000000000002,pores,12
228,18.240000000000002,resin,194
229,18.32,pores,9
229,18.32,resin,209
230,18.400000000000002,pores,9
230,18.400000000000002,resin,208
231,18.48,pores,8
231,18.48,resin,194
232,18.56,pores,11
232,18.56,resin,203
233,18.64,pores,13
233,18.64,resin,205
234,18.72,pores,12
234,18.72,resin,210
235,18.8,pores,13
235,18.8,resin,192
236,18.88,pores,12
236,18.88,resin,179
237,18.96,pores,14
237,18.96,resin,204
238,19.04,pores,11
238,19.04,resin,207
239,19.12,pores,10
239,19.12,resin,210
240,19.2,pores,20
240,19.2,resin,219
241,19.28,pores,18
241,19.28,resin,219
242,19.36,pores,14
242,19.36,resin,207
243,19.44,pores,14
243,19.44,resin,205
244,19.52,pores,14
244,19.52,resin,199
245,19.6,pores,10
245,19.6,resin,195
246,19.68,pores,11
246,19.68,resin,190
247,19.76,pores,10
247,19.76,resin,199
248,19.84,pores,10
248,19.84,resin,212
249,19.92,pores,19
249,19.92,resin,206
250,20.0,pores,21
250,20.0,resin,210
251,20.080000000000002,pores,19
251,20.080000000000002,resin,209
252,20.16,pores,18
252,20.16,resin,201
253,20.240000000000002,pores,17
253,20.240000000000002,resin,198
254,20.32,pores,16
254,20.32,resin,204
255,20.400000000000002,pores,15
255,20.400000000000002,resin,187
256,20.48,pores,16
256,20.48,resin,189
257,20.56,pores,13
257,20.56,resin,200
258,20.64,pores,10
258,20.64,resin,205
259,20.72,pores,13
259,20.72,resin,220
260,20.8,pores,17
260,20.8,resin,227
261,20.88,pores,22
261,20.88,resin,204
262,20.96,pores,19
262,20.96,resin,189
263,21.04,pores,16
263,21.04,resin,199
264,21.12,pores,14
264,21.12,resin,189
265,21.2,pores,15
265,21.2,resin,196
266,21.28,pores,15
266,21.28,resin,193
267,21.36,pores,12
267,21.36,resin,192
268,21.44,pores,6
268,21.44,resin,204
269,21.52,pores,8
269,21.52,resin,213
270,21.6,pores,5
270,21.6,resin,210
271,21.68,pores,9
271,21.68,resin,209
272,21.76,pores,7
272,21.76,resin,209
273,21.84,pores,8
273,21.84,resin,204
274,21.92,pores,9
274,21.92,resin,204
275,22.0,pores,13
275,22.0,resin,207
276,22.080000000000002,pores,11
276,22.080000000000002,resin,195
277,22.16,pores,12
277,22.16,resin,208
278,22.240000000000002,pores,16
278,22.240000000000002,resin,207
279,22.32,pores,12
279,22.32,resin,205
280,22.400000000000002,pores,14
280,22.400000000000002,resin,204
281,22.48,pores,13
281,22.48,resin,197
282,22.56,pores,13
282,22.56,resin,203
283,22.64,pores,12
283,22.64,resin,208
284,22.72,pores,9
284,22.72,resin,218
285,22.8,pores,13
285,22.8,resin,206
286,22.88,pores,14
286,22.88,resin,202
287,22.96,pores,12
287,22.96,resin,212
288,23.04,pores,10
288,23.04,resin,211
289,23.12,pores,8
289,23.12,resin,215
290,23.2,pores,7
290,23.2,resin,199
291,23.28,pores,9
291,23.28,resin,197
292,23.36,pores,6
292,23.36,resin,203
293,23.44,pores,6
293,23.44,resin,200
294,23.52,pores,6
294,23.52,resin,212
295,23.6,pores,9
295,23.6,resin,187
296,23.68,pores,9
296,23.68,resin,186
297,23.76,pores,7
297,23.76,resin,178
298,23.84,pores,6
298,23.84,resin,181
299,23.92,pores,5
299,23.92,resin,199
300,24.0,pores,7
300,24.0,resin,198
301,24.080000000000002,pores,6
301,24.080000000000002,resin,211
302,24.16,pores,4
302,24.16,resin,206
303,24.240000000000002,pores,5
303,24.240000000000002,resin,193
304,24.32,pores,5
304,24.32,resin,190
305,24.400000000000002,pores,9
305,24.400000000000002,resin,198
306,24.48,pores,6
306,24.48,resin,194
307,24.560000000000002,pores,8
307,24.560000000000002,resin,172
308,24.64,pores,8
308,24.64,resin,184
309,24.72,pores,5
309,24.72,resin,200
310,24.8,pores,5
310,24.8,resin,186
311,24.88,pores,5
311,24.88,resin,186
312,24.96,pores,8
312,24.96,resin,187
313,25.04,pores,9
313,25.04,resin,191
314,25.12,pores,9
314,25.12,resin,178
315,25.2,pores,11
315,25.2,resin,184
316,25.28,pores,9
316,25.28,resin,179
317,25.36,pores,8
317,25.36,resin,177
318,25.44,pores,7
318,25.44,resin,177
319,25.52,pores,5
319,25.52,resin,194
320,25.6,pores,8
320,25.6,resin,193
321,25.68,pores,4
321,25.68,resin,190
322,25.76,pores,8
322,25.76,resin,200
323,25.84,pores,5
323,25.84,resin,191
324,25.92,pores,5
324,25.92,resin,180
325,26.0,pores,3
325,26.0,resin,179
326,26.080000000000002,pores,6
326,26.080000000000002,resin,186
327,26.16,pores,7
327,26.16,resin,189
328,26.240000000000002,pores,4
328,26.240000000000002,resin,187
329,26.32,pores,4
329,26.32,resin,187
330,26.400000000000002,pores,8
330,26.400000000000002,resin,189
331,26.48,pores,5
331,26.48,resin,181
332,26.560000000000002,pores,5
332,26.560000000000002,resin,182
333,26.64,pores,6
333,26.64,resin,195
334,26.72,pores,7
334,26.72,resin,196
335,26.8,pores,5
335,26.8,resin,201
336,26.88,pores,9
336,26.88,resin,207
337,26.96,pores,10
337,26.96,resin,205
338,27.04,pores,16
338,27.04,resin,202
339,27.12,pores,11
339,27.12,resin,196
340,27.2,pores,11
340,27.2,resin,199
341,27.28,pores,9
341,27.28,resin,208
342,27.36,pores,9
342,27.36,resin,208
343,27.44,pores,8
343,27.44,resin,206
344,27.52,pores,7
344,27.52,resin,208
345,27.6,pores,7
345,27.6,resin,198
346,27.68,pores,11
346,27.68,resin,194
347,27.76,pores,7
347,27.76,resin,191
348,27.84,pores,6
348,27.84,resin,201
349,27.92,pores,5
349,27.92,resin,196
350,28.0,pores,6
350,28.0,resin,197
351,28.080000000000002,pores,5
351,28.080000000000002,resin,209
352,28.16,pores,7
352,28.16,resin,205
353,28.240000000000002,pores,10
353,28.240000000000002,resin,187
354,28.32,pores,7
354,28.32,resin,204
355,28.400000000000002,pores,8
355,28.400000000000002,resin,201
356,28.48,pores,5
356,28.48,resin,199
357,28.560000000000002,pores,4
357,28.560000000000002,resin,207
358,28.64,pores,8
358,28.64,resin,192
359,28.72,pores,16
359,28.72,resin,193
360,28.8,pores,13
360,28.8,resin,199
361,28.88,pores,12
361,28.88,resin,206
362,28.96,pores,10
362,28.96,resin,207
363,29.04,pores,11
363,29.04,resin,204
364,29.12,pores,11
364,29.12,resin,217
365,29.2,pores,6
365,29.2,resin,209
366,29.28,pores,7
366,29.28,resin,204
367,29.36,pores,8
367,29.36,resin,210
368,29.44,pores,5
368,29.44,resin,207
369,29.52,pores,4
369,29.52,resin,220
370,29.6,pores,11
370,29.6,resin,207
371,29.68,pores,10
371,29.68,resin,204
372,29.76,pores,9
372,29.76,resin,214
373,29.84,pores,10
373,29.84,resin,222
374,29.92,pores,7
374,29.92,resin,218
375,30.0,pores,5
375,30.0,resin,192
376,30.080000000000002,pores,10
376,30.080000000000002,resin,203
377,30.16,pores,10
377,30.16,resin,199
378,30.240000000000002,pores,15
378,30.240000000000002,resin,187
379,30.32,pores,9
379,30.32,resin,200
380,30.400000000000002,pores,12
380,30.400000000000002,resin,201
381,30.48,pores,19
381,30.48,resin,199
382,30.560000000000002,pores,14
382,30.560000000000002,resin,200
383,30.64,pores,12
383,30.64,resin,205
384,30.72,pores,11
384,30.72,resin,198
385,30.8,pores,12
385,30.8,resin,209
386,30.88,pores,9
386,30.88,resin,207
387,30.96,pores,9
387,30.96,resin,206
388,31.04,pores,8
388,31.04,resin,208
389,31.12,pores,8
389,31.12,resin,191
390,31.2,pores,10
390,31.2,resin,197
391,31.28,pores,12
391,31.28,resin,194
392,31.36,pores,9
392,31.36,resin,201
393,31.44,pores,14
393,31.44,resin,194
394,31.52,pores,18
394,31.52,resin,186
395,31.6,pores,14
395,31.6,resin,198
396,31.68,pores,8
396,31.68,resin,206
397,31.76,pores,17
397,31.76,resin,203
398,31.84,pores,14
398,31.84,resin,205
399,31.92,pores,9
399,31.92,resin,201
400,32.0,pores,11
400,32.0,resin,191
401,32.08,pores,12
401,32.08,resin,199
402,32.160000000000004,pores,16
402,32.160000000000004,resin,185
403,32.24,pores,14
403,32.24,resin,187
404,32.32,pores,13
404,32.32,resin,214
405,32.4,pores,23
405,32.4,resin,203
406,32.480000000000004,pores,27
406,32.480000000000004,resin,189
407,32.56,pores,27
407,32.56,resin,199
408,32.64,pores,25
408,32.64,resin,191
409,32.72,pores,22
409,32.72,resin,194
410,32.8,pores,19
410,32.8,resin,191
411,32.88,pores,18
411,32.88,resin,192
412,32.96,pores,18
412,32.96,resin,194
413,33.04,pores,19
413,33.04,resin,204
414,33.12,pores,23
414,33.12,resin,195
415,33.2,pores,20
415,33.2,resin,191
416,33.28,pores,24
416,33.28,resin,199
417,33.36,pores,25
417,33.36,resin,192
418,33.44,pores,17
418,33.44,resin,187
419,33.52,pores,23
419,33.52,resin,167
420,33.6,pores,13
420,33.6,resin,188
421,33.68,pores,12
421,33.68,resin,190
422,33.76,pores,15
422,33.76,resin,190
423,33.84,pores,10
423,33.84,resin,175
424,33.92,pores,9
424,33.92,resin,187
425,34.0,pores,14
425,34.0,resin,187
426,34.08,pores,10
426,34.08,resin,184
427,34.160000000000004,pores,13
427,34.160000000000004,resin,192
428,34.24,pores,17
428,34.24,resin,186
429,34.32,pores,16
429,34.32,resin,184
430,34.4,pores,18
430,34.4,resin,179
431,34.480000000000004,pores,16
431,34.480000000000004,resin,189
432,34.56,pores,18
432,34.56,resin,199
433,34.64,pores,22
433,34.64,resin,192
434,34.72,pores,22
434,34.72,resin,201
