phase,number_of_objects,mean_area_pixels,median_area_pixels,std_area_pixels,mean_equivalent_diameter_um,median_equivalent_diameter_um,std_equivalent_diameter_um,mean_circularity,median_circularity,mean_eccentricity,mean_aspect_ratio,median_aspect_ratio,mean_solidity,mean_intensity,median_intensity
pores,5280,29.560416666666665,9.0,116.13095658317931,362.3444331061655,270.811000102923,331.0698054429604,1.804693586019787,1.6170362533579417,0.5554685017947725,1.4959095998300571,1.224744871391589,0.9159350599746114,64.92867066770417,63.375
resin,86333,36.81387186823115,27.0,35.77538431533342,499.25542729552234,469.0584114268031,225.23548047298235,1.2408061940847566,1.1097582375130814,0.666056530003453,1.6589230499823775,1.4643341206306897,0.8637955333559096,133.81426397965348,132.84615384615384
