phase,morphology_class_2d,number_of_objects,mean_area_pixels,median_area_pixels,mean_equivalent_diameter_um,median_equivalent_diameter_um,mean_circularity,mean_aspect_ratio,mean_eccentricity,mean_intensity
pores,elongated_pore,103,17.009708737864077,12.0,361.25779590090997,312.70560761786874,0.4556230152544191,2.642714158366534,0.9142263988572643,70.81323385524234
pores,irregular_pore,368,30.578804347826086,17.0,429.31748679283595,372.19411933450226,0.4348105145040362,1.390757284499672,0.6329198832473444,75.80884757463176
pores,rounded_pore,2152,58.18262081784387,17.0,510.8656831441399,372.19411933450226,0.9810978146083114,1.135515635964503,0.41324142208135106,57.8664250254336
pores,small_object,2657,6.723748588633797,7.0,232.81794074399997,238.83285285767386,0.8826238504476474,1.7584069575793018,0.6460287215054612,68.91359257666183
resin,elongated_resin,17439,56.793279431160045,40.0,623.8571648171297,570.9197171688868,0.543441802672054,2.4197827697094842,0.8998706609319297,132.61906490711405
resin,irregular_resin,21035,45.80494414071785,35.0,570.0821148904386,534.0464942499636,0.6262093956823334,1.541572465178079,0.7170807809196532,131.80239727869525
resin,rounded_resin,32276,34.708080307349114,32.0,514.7940195414691,510.64611891383385,0.9234927077074824,1.1631300355610783,0.45672709542058443,130.49141761504603
resin,small_object,15583,6.679650901623564,6.0,232.02237348505258,221.11625566165472,0.7856693898047863,1.9994435743765786,0.7690878515277227,144.74995556309327
