epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.243744723077985,0.30867143993635643,2.1520290109846325,0.6444444444444445
2,1.9822091417077428,0.6762132060461417,1.7578645026242292,0.7666666666666667
3,1.456713140342761,0.7939538583929993,1.1875122494167751,0.774074074074074
4,0.9552311087375419,0.8337311058074781,0.8285059716966418,0.837037037037037
5,0.6588959082925518,0.8870326173428799,0.6285941923106159,0.8518518518518519
6,0.49942169951937365,0.9013524264120922,0.5078727379993156,0.8555555555555555
7,0.40217615615401653,0.918854415274463,0.4271759450435638,0.8851851851851852
8,0.33730816050427437,0.9307875894988067,0.37774380070191843,0.9037037037037037
9,0.29423550238377916,0.9347653142402546,0.328006860393065,0.9185185185185185
10,0.254724841603421,0.9427207637231504,0.2930347278162285,0.9185185185185185
11,0.22933151613840908,0.9459029435163087,0.279029310853393,0.9296296296296296
12,0.20618261483423087,0.9514717581543357,0.25127466133347265,0.937037037037037
13,0.18619079082943468,0.9578361177406524,0.2383656781028818,0.937037037037037
14,0.17256730045699467,0.9610182975338106,0.2200469394524892,0.9407407407407408
15,0.15944397653391557,0.9634049323786794,0.212791811812807,0.9407407407407408
16,0.143993212753283,0.9681782020684169,0.1931637528869841,0.9481481481481482
17,0.13832590458121866,0.9713603818615751,0.18689371948992764,0.9444444444444444
18,0.13119453075582677,0.9713603818615751,0.18363590665437557,0.9555555555555556
19,0.12618353633341944,0.9705648369132857,0.17041037143380552,0.9555555555555556
20,0.11358170196496975,0.9737470167064439,0.16293894753411964,0.9518518518518518
21,0.10652696613337942,0.9769291964996022,0.15913415413211893,0.9592592592592593
22,0.10242239314123289,0.9777247414478918,0.15206226347773164,0.9592592592592593
23,0.09617442916263734,0.9824980111376292,0.15352457309210743,0.9629629629629629
24,0.08911082282211918,0.9824980111376292,0.14320422769696625,0.9629629629629629
25,0.08733650023679271,0.9809069212410502,0.1507224725904288,0.9555555555555556
26,0.08075227904709185,0.9824980111376292,0.14526748226748573,0.9555555555555556
27,0.07816657307798557,0.9832935560859188,0.13713952780321792,0.9666666666666667
28,0.0751659470786657,0.9864757358790772,0.1386994405201188,0.9629629629629629
29,0.07042053794264556,0.9856801909307876,0.13322212356660101,0.9592592592592593
30,0.06845517214587701,0.9864757358790772,0.13235245087632427,0.9703703703703703
