class,precision,recall,f1_score,support
0,1.0,0.9629629629629629,0.9811320754716981,27
1,0.9032258064516129,1.0,0.9491525423728814,28
2,0.9615384615384616,0.9615384615384616,0.9615384615384616,26
3,1.0,1.0,1.0,28
4,0.9642857142857143,1.0,0.9818181818181818,27
5,1.0,1.0,1.0,27
6,1.0,0.9629629629629629,0.9811320754716981,27
7,1.0,1.0,1.0,27
8,0.9583333333333334,0.8846153846153846,0.92,26
9,1.0,1.0,1.0,27
