label,eccentricity,area_um2,diameter_um,perimeter_um,centroid_x_um,centroid_y_um,circularity
1,0.1337647495853136,164541200.0,14474.127351180014,155743.4876558261,11675.596677306352,12264.577090722567,0.08524417903735826
2,0.0,2000.0,50.46265044040321,113.13708498984761,13040.0,1520.0,1.963495408340222
3,0.3893237031375052,57600.0,270.811000102923,864.2640687119285,9340.833333333334,1910.4166666666665,0.9690349295547692
4,0.0,2000.0,50.46265044040321,113.13708498984761,12360.0,1900.0,1.963495408340222
5,0.347280702364684,24000.0,174.80774889473267,522.842712474619,15178.666666666666,2315.0,1.1032628324103244
6,0.3834113099218224,26800.0,184.7236308621676,551.1269837220809,13036.41791044776,2358.507462686567,1.1087695947460583
7,0.5567788765814873,24800.0,177.69732893161913,534.5584412271571,13490.967741935483,2395.483870967742,1.0906142328430222
8,0.0,2000.0,50.46265044040321,113.13708498984761,9620.0,3100.0,1.963495408340222
9,0.33033044000414546,44800.0,238.83285285767386,727.6955262170047,13210.535714285714,3238.3928571428573,1.06313512760421
10,0.04095129078967086,26800.0,184.7236308621676,546.2741699796952,8818.20895522388,3239.4029850746265,1.1285565518189482
11,0.3062371287511187,54800.0,264.14679072721464,812.5483399593904,9981.459854014598,3589.0510948905107,1.0430184908306068
12,0.3474010838475227,24000.0,174.80774889473267,522.842712474619,14184.333333333334,3541.333333333333,1.1032628324103244
13,0.5849866175853744,9600.0,110.55812783082736,301.4213562373095,15802.5,3733.333333333333,1.3278012032019386
14,0.5866857344558972,7200.0,95.74614729634384,261.4213562373095,16114.444444444443,3763.333333333333,1.3239153988778602
15,0.0,2000.0,50.46265044040321,113.13708498984761,15600.0,3780.0,1.963495408340222
16,0.46810788034682427,33600.0,206.83531783305642,631.1269837220809,17896.190476190477,3855.4761904761904,1.060023867378105
17,0.0,2000.0,50.46265044040321,113.13708498984761,17080.0,3860.0,1.963495408340222
18,0.3001353913053619,16800.0,146.25465582862904,515.9797974644666,5188.0952380952385,3937.1428571428573,0.7929645098216865
19,0.5849866175853743,9600.0,110.55812783082736,301.4213562373095,18677.5,4286.666666666667,1.3278012032019386
20,0.5207037318817047,7600.0,98.3698151873187,261.4213562373095,4803.1578947368425,4376.8421052631575,1.3974662543710747
21,0.0,2000.0,50.46265044040321,113.13708498984761,18920.0,4700.0,1.963495408340222
22,0.0,2000.0,50.46265044040321,113.13708498984761,11680.0,4920.0,1.963495408340222
23,0.0,2000.0,50.46265044040321,113.13708498984761,5480.0,5180.0,1.963495408340222
24,0.0,2000.0,50.46265044040321,113.13708498984761,19200.0,5260.0,1.963495408340222
25,0.42519315270586355,22800.0,170.38151783559658,522.842712474619,4845.6140350877195,5561.754385964912,1.0480996907898081
26,0.5773502691896258,6400.0,90.270333367641,233.1370849898476,12160.0,5650.0,1.4796776499902178
