label,eccentricity,area_um2,diameter_um,perimeter_um,centroid_x_um,centroid_y_um,circularity,size_class
1,0.9986136701422079,35200.0,211.7026971360491,1744.142135623731,12046.136363636362,985.909090909091,0.14540816016034286,200-400
2,0.9981256192872442,13200.0,129.6408962885715,620.0,13086.666666666668,1026.6666666666667,0.43151949039830795,100-200
3,0.9992318033827307,8000.0,100.92530088080642,364.14213562373095,11115.0,1021.0,0.7581549610137911,100-200
4,0.9964385910067536,6000.0,87.40387444736633,284.14213562373095,10732.0,1052.0,0.9338773317285286,<100
5,0.902694735470332,54000.0,262.21162334209896,1460.832611206852,10128.148148148148,1194.2222222222222,0.3179821292560771,200-400
6,1.0,1200.0,39.08820095223359,20.0,10520.0,1080.0,1.0,<100
7,0.4692034281797029,52400.0,258.29779740470593,812.5483399593904,10928.854961832061,1220.6106870229007,0.9973388488964197,200-400
8,0.7029544970824422,60400.0,277.3151068766428,1019.4112549695427,11848.476821192053,1207.1523178807947,0.7303784559614732,200-400
9,0.9957780525567909,7600.0,98.3698151873187,356.5685424949238,13556.842105263158,1123.157894736842,0.751168564027431,<100
10,1.0,1600.0,45.1351666838205,40.0,13790.0,1160.0,1.0,<100
11,0.9960968245732498,25200.0,179.1246396432554,1157.989898732233,14244.126984126982,1264.4444444444443,0.23615702154680945,100-200
12,0.9891527151132065,2400.0,55.27906391541368,88.2842712474619,9710.0,1206.6666666666667,1.0,<100
13,0.998427984509783,6800.0,93.04852983362557,324.8528137423857,9460.0,1265.8823529411766,0.8097398467246145,<100
14,0.8862441993534412,118000.0,387.610972856483,1558.8225099390854,12357.42372881356,1483.864406779661,0.6102369971101298,200-400
15,0.0,1600.0,45.1351666838205,80.0,13030.0,1270.0,1.0,<100
16,0.6292889820590859,5600.0,84.44016491289504,221.4213562373095,11495.714285714286,1327.1428571428573,1.0,<100
17,1.0,1600.0,45.1351666838205,40.0,9230.0,1320.0,1.0,<100
18,0.9977314574301542,6000.0,87.40387444736633,284.8528137423857,9020.0,1365.3333333333333,0.9292232911910493,<100
19,0.9960794218438584,4400.0,74.84820637019111,196.5685424949238,14780.0,1385.4545454545453,1.0,<100
20,0.9946544270942009,6000.0,87.40387444736633,268.2842712474619,8725.333333333332,1450.6666666666665,1.0,<100
21,0.7276119925147901,62800.0,282.77100878514443,1061.543289325507,10922.929936305733,1543.0573248407643,0.7003160654639456,200-400
22,0.0,400.0,22.56758334191025,0.0,14940.0,1420.0,1.0,<100
23,0.9863006605741669,34400.0,209.28315827817966,1213.259018078045,15276.046511627908,1571.627906976744,0.2936711273632817,200-400
24,0.8312922821043541,97600.0,352.5169209643019,2907.9393923933994,9346.39344262295,1786.1475409836066,0.14504039717724695,200-400
25,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,13780.0,1490.0,1.0,<100
26,0.5473017179827889,5600.0,84.44016491289504,296.5685424949238,13035.714285714286,1515.7142857142858,0.8001063651285885,<100
27,1.0,800.0,31.915382432114615,0.0,8570.0,1500.0,1.0,<100
28,1.0,800.0,31.915382432114615,0.0,8510.0,1520.0,1.0,<100
29,0.9972007957901827,5600.0,84.44016491289504,264.8528137423857,8338.57142857143,1581.4285714285713,1.0,<100
30,0.13684536091285482,124400.0,397.9836672089123,1832.6702730475881,9939.549839228295,1734.6623794212219,0.4654377168903455,200-400
31,1.0,800.0,31.915382432114615,0.0,9050.0,1600.0,1.0,<100
32,0.9885879027046066,3600.0,67.70275002573075,148.2842712474619,8108.888888888889,1662.2222222222222,1.0,<100
33,0.6903764086970495,10000.0,112.83791670955125,357.9898987322333,14739.2,1717.6,0.9805467826748303,100-200
34,0.377964473009227,2800.0,59.708213214418464,136.5685424949238,11334.285714285714,1700.0,1.0,<100
35,0.8106015913881411,64400.0,286.35053113438516,1742.9646455628165,7696.521739130435,1959.3788819875776,0.2663904034029986,200-400
36,1.0,800.0,31.915382432114615,0.0,13530.0,1700.0,1.0,<100
37,0.16102090635875654,86800.0,332.44126170349574,1024.2640687119285,14528.202764976959,1871.4285714285713,1.0,200-400
38,0.6538067849786263,13600.0,131.59049284959082,397.9898987322333,13170.588235294117,1814.1176470588234,1.0,100-200
39,0.9851714310094161,1600.0,45.1351666838205,48.2842712474619,15830.0,1750.0,1.0,<100
40,0.5773502691896258,3200.0,63.83076486422923,153.1370849898476,12700.0,1790.0,1.0,<100
41,0.8230173129766362,4800.0,78.17640190446718,216.5685424949238,13748.333333333332,1783.3333333333335,1.0,<100
42,0.8574791725932179,14000.0,133.5116235624909,426.2741699796952,13585.142857142857,1846.857142857143,0.968188377340075,100-200
43,0.9916448927174536,4000.0,71.36496464611085,172.42640687119285,15982.0,1818.0,1.0,<100
44,0.41203860321932984,74400.0,307.7808020788433,1352.5483399593904,10730.752688172042,1935.9139784946237,0.5110662575017608,200-400
45,0.36601167972398835,60000.0,276.3953195770684,1172.5483399593904,12302.4,1984.0,0.5484027224315711,200-400
46,0.7917413587484459,4000.0,71.36496464611085,164.14213562373095,10256.0,1886.0,1.0,<100
47,0.9995391596080486,30400.0,196.7396303746374,1644.9747468305832,16733.684210526317,2165.5263157894738,0.1411773342864749,100-200
48,0.2970442628930021,6800.0,93.04852983362557,249.7056274847714,8540.0,1912.941176470588,1.0,<100
49,0.523556754446835,5200.0,81.36857890256438,204.85281374238568,11832.307692307693,1912.3076923076924,1.0,<100
50,0.85555917543882,68800.0,295.9710808132768,1109.1168824543142,11536.744186046511,2069.302325581395,0.7028192858337619,200-400
51,0.9332357627699662,312400.0,630.6821971288431,4447.47258045114,15442.304737516006,2554.212548015365,0.19846975369348427,400-800
52,0.316296327099529,81600.0,322.3295624828558,1029.1168824543142,10105.49019607843,2156.078431372549,0.9682123483547483,200-400
53,0.3490650890657696,99200.0,355.39465786323825,1205.685424949238,7466.209677419355,2189.5967741935483,0.8575382770767673,200-400
