model,train_MAE,test_MAE,train_RMSE,test_RMSE,train_R2,test_R2
Linear Regression,0.007393359898764655,0.008663306390733705,0.00982918491574308,0.011200825386639024,0.15115610103258426,0.11711067146493681
Ridge Regression,0.007392613546238439,0.008661004827070294,0.009829214010173809,0.01119873446147632,0.15115107586177268,0.11744026917619066
Lasso Regression,0.007482855667424388,0.008659534055912993,0.009993869040051766,0.011359327914063229,0.1224737254477617,0.09194639477004285
Random Forest,0.005439348974019613,0.008515226381310475,0.007299232385698932,0.011387130175754217,0.531890773143044,0.0874959837566569
