feature,standardized_coefficient
detectability_score,-0.012504967640892322
relative_noise_drifted,0.011046949304982415
true_heterogeneity,0.005002333704425521
cnr_drifted,-0.0031261142890008525
true_porosity,0.0013004229281473939
snr_drifted,-0.0011929763853986972
sample_thickness_mm,-0.00026404734249386714
n_projections,0.00023955416816052343
true_mean_pore_diameter_um,0.00023106081203226454
attenuation_contrast,-0.00022641071946294454
current_uA,-0.00020627553128971235
pore_detectability,-0.00012230194371802151
exposure_ms,-7.379935472213294e-05
filter_thickness_mm,4.609249273990925e-05
voltage_kV,-2.501199058950249e-05
voxel_size_um,-1.4574067484353437e-05
