feature,importance
pore_detectability,0.1214764468899367
detectability_score,0.11856225402290249
true_porosity,0.09793833950492777
snr_drifted,0.07739260847232163
true_mean_pore_diameter_um,0.07302872737809352
filter_thickness_mm,0.0686829863163483
voltage_kV,0.05687657539181457
voxel_size_um,0.05581760786757111
cnr_drifted,0.050729670130303814
true_heterogeneity,0.04954307465126274
current_uA,0.04880210326730661
sample_thickness_mm,0.04401408665400363
exposure_ms,0.03887988072450821
relative_noise_drifted,0.03805245208901926
attenuation_contrast,0.031139214404439976
n_projections,0.02906397223523972
