feature,importance
cnr_drifted,0.4507272000178241
relative_noise_drifted,0.22735201431319632
detectability_score,0.14264935514058324
pore_detectability,0.12235881419627734
true_heterogeneity,0.03357420218862755
true_mean_pore_diameter_um,0.00795423414726681
exposure_ms,0.0053265289256833725
snr_drifted,0.00288504792007793
voxel_size_um,0.0011257170023741712
filter_thickness_mm,0.0011222943061038593
true_porosity,0.0011201422152868447
n_projections,0.0010996917487854636
current_uA,0.0009468024993754173
sample_thickness_mm,0.0006582262716042261
voltage_kV,0.0006221211997377127
attenuation_contrast,0.00047760790719564034
