feature,standardized_coefficient
detectability_score,-0.00362425333885018
snr_drifted,-0.002323650330558424
relative_noise_drifted,0.0022187148740248686
n_projections,0.001493160723972252
true_porosity,0.0012730948097296366
current_uA,0.0012573933998129936
exposure_ms,0.0006125303485613703
true_heterogeneity,0.0005438027720320297
voxel_size_um,-0.00041588464173842194
sample_thickness_mm,-0.0004029810054663951
attenuation_contrast,-0.00040238782380200847
true_mean_pore_diameter_um,0.00035715951326899026
cnr_drifted,0.0002672400207774109
voltage_kV,0.0002522916939839933
filter_thickness_mm,8.28538749541965e-05
pore_detectability,4.7102536940385665e-05
