slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,assigned_fraction,mean_intensity,std_intensity,mean_intensity_pores,mean_intensity_resin,mean_intensity_matrix,pore_object_count,mean_pore_area_um2,median_pore_area_um2,mean_pore_equivalent_diameter_um,median_pore_equivalent_diameter_um,resin_object_count,mean_resin_area_um2,median_resin_area_um2,mean_resin_equivalent_diameter_um,median_resin_equivalent_diameter_um,heterogeneity_index
0,0.0,0.05687506952942485,0.3030648570475025,0.6220658582712204,0.9820057848481477,162.00645233062633,34.22310875980644,76.73789731051345,136.00669909149306,182.5154468636831,250,52352.0,19200.0,216.14216576233466,156.35280380893437,592,117805.4054054054,12800.0,233.53352747088582,127.66152972845846,0.23137551919348762
1,80.0,0.04936589164534431,0.3023417510290355,0.6383635554566692,0.990071198131049,163.49958282345088,33.34487456148466,77.19718309859155,136.7075706006807,182.891996688886,251,45258.964143426296,12800.0,200.1000768885138,127.66152972845846,769,90473.8621586476,12800.0,216.50740496494768,127.66152972845846,0.241252676774308
2,160.0,0.040799866503504284,0.2942485259761931,0.6572755590165759,0.9923239514962732,165.03220602959172,32.66210618053361,77.1622358554874,136.0703213610586,183.4816993187492,261,35972.41379310345,12800.0,179.85440779708185,127.66152972845846,755,89684.76821192053,12800.0,221.4687835615936,127.66152972845846,0.2529969541244139
3,240.0,0.03351318277895205,0.28457003003671155,0.6739626209811992,0.9920458337968628,166.61895094003782,32.181358648199236,77.149377593361,135.3720680218921,184.30148970412247,249,30971.887550200805,12800.0,171.08629083457282,127.66152972845846,704,93018.18181818182,12800.0,225.47873668071358,127.66152972845846,0.2634876369292497
4,320.0,0.028952052508621647,0.26549115585715877,0.6976304372010235,0.9920736455668039,168.2049171209256,32.12634721204584,77.01729106628243,133.32474334799917,185.3280577260405,260,25624.615384615383,12800.0,155.14694191845982,127.66152972845846,672,90914.28571428571,12800.0,234.7455899231082,127.66152972845846,0.276852525533433
5,400.0,0.025503393035932808,0.2544498831905663,0.7127600400489487,0.9927133162754478,169.60746467905219,32.35667273805356,78.12431842966194,131.58159361678872,186.52243639769003,270,21736.296296296296,12800.0,147.0040283752001,127.66152972845846,576,101655.55555555556,12800.0,249.69652669058308,127.66152972845846,0.28573227447642774
6,480.0,0.022527533652241628,0.24460451663143842,0.7246634775837134,0.9917955278673934,170.94807542552007,32.71510111801521,79.28765432098766,129.56702671972712,187.87285078292908,296,17513.513513513513,12800.0,136.09687310057242,127.66152972845846,512,109937.5,12800.0,266.95224138863,127.66152972845846,0.29302439718681356
7,560.0,0.017966403381911224,0.23870842140393814,0.7353988207809545,0.9920736455668039,172.29455445544554,32.80652254011137,79.23993808049535,127.9465221950367,189.0908403297784,272,15200.0,6400.0,126.23480573749796,90.270333367641,427,128644.49648711944,12800.0,291.458833171778,127.66152972845846,0.30002549241481535
8,640.0,0.013266214261875625,0.24162865724774724,0.7379575036155301,0.992852375125153,173.559906552453,32.89287806403994,76.69811320754717,127.99240331491713,190.35445089319364,224,13628.57142857143,6400.0,119.8964766080522,90.270333367641,396,140412.12121212122,25600.0,318.4604171862294,180.540666735282,0.3025207419827811
9,720.0,0.01198687284458783,0.23993213928134385,0.7419345867170987,0.9938535988430304,174.7682167093114,33.23030890156434,74.10904872389791,127.99177002434219,191.66000674738538,190,14517.894736842105,6400.0,122.73578890050818,90.270333367641,352,156854.54545454544,44800.0,345.8726929702279,238.83285285767386,0.30492060290984246
10,800.0,0.009956613638891979,0.2365391033485371,0.7486928468127712,0.9951885638002003,175.83379686283234,32.90625697297089,70.62569832402235,128.605291005291,192.27938335809807,155,14781.935483870968,6400.0,122.40044417668649,90.270333367641,344,158232.55813953487,38400.0,342.5397149398153,221.11625566165472,0.3090077855530112
