slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,mean_intensity,std_intensity,pore_object_count,mean_pore_equivalent_diameter_um,resin_object_count,mean_resin_equivalent_diameter_um,heterogeneity_index,PC1,PC2,is_anomaly,anomaly_score,anomaly_category
0,0.0,0.0568750695294248,0.3030648570475025,0.6220658582712204,162.00645233062633,34.22310875980644,250,216.14216576233463,592,233.53352747088584,0.2313755191934876,-16.003457634092616,-2.397432448139982,True,0.23235727545436857,high_porosity+resin_rich+resin_fragmented+large_pores
1,80.0,0.0493658916453443,0.3023417510290355,0.6383635554566692,163.49958282345088,33.34487456148466,251,200.1000768885138,769,216.50740496494768,0.241252676774308,-16.159629002551373,-4.010912795324393,True,0.2244840142583031,high_porosity+resin_rich+resin_fragmented+large_pores
2,160.0,0.0407998665035042,0.2942485259761931,0.6572755590165759,165.03220602959172,32.66210618053361,261,179.85440779708185,755,221.4687835615936,0.2529969541244139,-14.78994765147106,-4.6873712131724625,True,0.2087776540357229,high_porosity+resin_rich+resin_fragmented+large_pores
3,240.0,0.033513182778952,0.2845700300367115,0.6739626209811992,166.61895094003782,32.18135864819924,249,171.08629083457282,704,225.4787366807136,0.2634876369292497,-13.17153009813093,-4.773667568668154,True,0.18086561455721994,high_porosity+resin_rich+resin_fragmented
4,320.0,0.0289520525086216,0.2654911558571587,0.6976304372010235,168.2049171209256,32.12634721204584,260,155.14694191845982,672,234.7455899231082,0.276852525533433,-11.460013021276012,-4.886507290870122,True,0.1643456637946632,high_porosity+resin_rich+resin_fragmented
5,400.0,0.0255033930359328,0.2544498831905663,0.7127600400489487,169.6074646790522,32.35667273805356,270,147.0040283752001,576,249.69652669058308,0.2857322744764277,-9.842149212718219,-4.54454325776649,True,0.15008606693212057,high_porosity+resin_rich+resin_fragmented
6,480.0,0.0225275336522416,0.2446045166314384,0.7246634775837134,170.94807542552007,32.71510111801521,296,136.09687310057242,512,266.95224138863,0.2930243971868135,-8.651112168676912,-4.437164389299118,True,0.13231189300382662,high_porosity+resin_rich+resin_fragmented
7,560.0,0.0179664033819112,0.2387084214039381,0.7353988207809545,172.29455445544554,32.80652254011137,272,126.23480573749796,427,291.458833171778,0.3000254924148153,-6.979269933757148,-4.0285684890463225,True,0.10108290500836059,high_porosity+resin_rich+resin_fragmented
8,640.0,0.0132662142618756,0.2416286572477472,0.7379575036155301,173.559906552453,32.89287806403994,224,119.8964766080522,396,318.4604171862294,0.3025207419827811,-5.901724665930566,-3.7362532386844762,True,0.08483884012091114,resin_rich+resin_fragmented
9,720.0,0.0119868728445878,0.2399321392813438,0.7419345867170987,174.7682167093114,33.23030890156434,190,122.73578890050818,352,345.8726929702279,0.3049206029098424,-4.860751000092385,-3.098568416152665,True,0.04929989785328004,resin_rich+resin_fragmented
10,800.0,0.0099566136388919,0.2365391033485371,0.7486928468127712,175.83379686283234,32.90625697297089,155,122.40044417668648,344,342.5397149398153,0.3090077855530112,-4.104939982250705,-2.968909756443282,True,0.031515645897639555,resin_rich+resin_fragmented
11,880.0,0.0094281900100122,0.2338413616642563,0.7522249415952831,176.81596951830014,33.279083001180325,150,119.9212015956211,327,357.70784160275457,0.3110608768070354,-3.5586915786747944,-2.7319222696420558,True,0.007395577116283469,resin_rich+resin_fragmented
12,960.0,0.0081766603626654,0.2332295027255534,0.7546445655801535,177.7532539770831,33.25836155861221,135,118.38524063918476,300,392.75380867543697,0.3126476154727317,-2.7580762352851242,-2.391376547838437,False,-0.031036173588909866,normal
13,1040.0,0.0077038602736678,0.2326732673267326,0.7556179775280899,178.54630659695184,33.13257530636876,128,120.51741597181729,302,391.8034064938855,0.3133081427508442,-2.582799699672509,-2.3529734998998233,False,-0.03720956992668856,normal
14,1120.0,0.0062854600066748,0.2274724663477583,0.7623206140838803,179.22157637112025,33.043280317685884,105,119.13844526191934,313,383.8406646849921,0.3173808415262918,-2.0958790853042606,-2.3390668714963656,False,-0.03978871656288341,normal
15,1200.0,0.0068695071754366,0.2225497830681944,0.7663533207253309,179.87192679942152,33.02451296427758,122,116.68358087297436,267,415.6274325603294,0.319558016297838,-1.379527756408164,-2.0278604720322377,False,-0.08558477891957894,normal
16,1280.0,0.0058960952275002,0.2192958059850928,0.7708032039158972,180.56157525864947,32.991155798122946,87,125.69319044148344,277,400.4578912566637,0.3222805422895251,-1.0233429179617435,-1.804630233165468,False,-0.09864095468983608,normal
17,1360.0,0.004338636110802,0.2166536878406942,0.7753087106463455,181.31176994103905,32.851661234580625,79,115.70071482449158,271,407.1691248381948,0.3251611517602363,-0.5026011336492797,-1.8997876814984331,False,-0.11464353573265063,normal
18,1440.0,0.0036711536322171,0.2155412170430526,0.7764489932139281,182.06299365891644,33.044745063457405,67,117.36919988773457,259,414.99957718953794,0.326035452483868,-0.1309197618117467,-1.670962967195782,False,-0.135132361384737,normal
19,1520.0,0.00428301257092,0.2092001334964957,0.7825675826009567,182.7112303927022,33.016545837876784,65,124.0152122042615,255,405.0149701343147,0.3293880066102088,0.19110441187177743,-1.504570965421499,False,-0.1459745589255136,normal
20,1600.0,0.0037824007119813,0.2100901101346089,0.78131605295361,183.21885081766604,33.17075855358513,59,123.46182644873667,259,410.7728628453652,0.3288735875149994,0.26417435894266345,-1.4508210436490805,False,-0.15584189003698162,normal
21,1680.0,0.0040605184113917,0.2159305818222271,0.7753087106463455,183.59261319390367,33.52332039479597,65,121.9011881207061,242,430.5861104554658,0.3253402644074128,0.1843283534311783,-1.3012445807623143,False,-0.15485641101378428,normal
22,1760.0,0.0052286127489153,0.2262209367004116,0.7641561908999889,183.8800478362443,34.58606907974125,52,149.9297276431997,239,460.2788598017311,0.3187097275359753,-0.18445611731510267,-0.468759952611164,False,-0.12051760763207581,normal
23,1840.0,0.0061185893870285,0.2281121370564022,0.7615696962954722,184.14937701635333,34.929256690748744,58,153.78335677209785,255,436.5432794176567,0.3170286488360552,-0.6760327743570206,-0.5587873503679759,False,-0.11970361555997056,normal
24,1920.0,0.0059795305373233,0.2219657358994326,0.7669929914339748,184.3987373456447,34.73179194717933,49,166.61828117340613,245,435.7681058082306,0.3202162876432354,-0.2459796549636702,-0.24420563911119228,False,-0.15072262257290053,normal
25,2000.0,0.0057848481477361,0.2090888864167315,0.7802592056958505,184.6098286794972,34.08663016418871,53,154.85506746023566,248,420.8260994856891,0.3278513545464462,0.38934828423353207,-0.5467603858218212,False,-0.18549318475643473,normal
